text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,trust
Con gái dễ thương quá,2,0,2025-10-01T11:43:17.000Z,_ruby286,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,275725403388923904,7556217517326091009,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d8d089fc89e4b30c4b24b8474f08a8f8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ea3e7dca&x-expires=1768554000&x-signature=HhkxL4RLSuWUPMaYY2PpQxsvl48%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
:) không,2,0,2025-09-29T09:48:12.000Z,oknmhicc,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7516951181038617608,7555444840147108609,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b65b9a83c07ade76e5eef851df0ee945~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=75fb9237&x-expires=1768554000&x-signature=B2twSKyl%2BFY%2B6Ja4ZnOSs%2BYf%2BGk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
dth quá,2,0,2025-10-01T14:38:12.000Z,quynhmyulatr,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,6808534054158533633,7556262600436122386,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a46ccd22a36f55ee11d67b09b0cd706b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=90be4a7a&x-expires=1768554000&x-signature=H9QjPp3Ot2dRr%2FR8L81%2Bfv0FSNg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
đầu,3,1,2025-09-28T21:45:33.000Z,nhuw7102012,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7197730781119431707,7555259404415140615,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dbb766f149e6b7771d7f932f6a95bb1e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b7a4479a&x-expires=1768554000&x-signature=PoitK4eL7ddd%2Fo5NYMTam84eHYk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
💕💕💕💕,4,0,2025-09-29T00:34:37.000Z,lilyjust5,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,6893520982834824198,7555303025552900877,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/379eee471071b7ac741aacb4f843e9ef~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=98b96ec1&x-expires=1768554000&x-signature=wANt1qqNrjgEksbSSQCL94TJd1w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
🥰🥰🥰,2,0,2025-09-29T09:17:10.000Z,hoanghaphuongnguy,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7276725322744136705,7555437699176989447,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0b5ea497001025ef53db5add41898aea~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=418c67c0&x-expires=1768554000&x-signature=e3ZFdoO2Y%2FLoJvuGmYPeJc8HjcI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ngư xinh lắm huông à,2,0,2025-10-07T06:57:09.000Z,kimngn150212,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7557729015244997639,7558370289148904200,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/be2a754b5b14003a4789da0f286ef506~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=87632c01&x-expires=1768554000&x-signature=dOjJn8EQlSgE7HD7i1KVJ7bJZ3o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ước tiếp đi em 🤡,2,0,2025-10-02T10:16:09.000Z,dolphin_r,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7363896818528404511,7556565846500606750,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/63b58373e38c8718039b184da715c236~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=18cab397&x-expires=1768554000&x-signature=Y6laywoirsDwOtuzTfO9htBglM4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
ghê z bà,2,0,2025-09-28T22:47:53.000Z,socola_056,https://www.tiktok.com/@phuclongusa/video/7555233734925110583,7015050544433103899,7555275439701082887,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/20f91435cd933b9abfd3b094fdd7b16f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d997d01b&x-expires=1768554000&x-signature=GGhAr40Z70LxVua3F%2F0dNEVIS4w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
10 4 on my way now,3,1,2025-09-27T15:52:54.000Z,bonsaiflowerstone,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,7071793196456674346,7554797362860098317,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/b1901125957339671425f6e121ceafd3~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=52b5042d&x-expires=1768554000&x-signature=P%2BIN1hIv6IxJ50J4lmhf%2FxgMYHQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
,2,1,2025-09-30T03:41:29.000Z,danielespinoza94,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,6842916624837248005,7555722180690182943,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/2652755059af348a4c53a7ef31393fd9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=09ecf6c4&x-expires=1768554000&x-signature=B2srZXr%2BceNpQgISBUOqfJiiJb8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
it's Foot Long,2,1,2025-09-13T14:34:31.000Z,thewavewizard,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,6947330766779679750,7549582020701487885,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/08645ea60756d837250ab4d94151b0fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=85bb4500&x-expires=1768554000&x-signature=L6yldPEPEL%2BpM4vKLyIRVAUTl90%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
I know where I'm going 😎,1,1,2025-09-29T22:59:12.000Z,jamiefredricks7,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,7053168203913151494,7555649347033154335,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/eeeae845eab7939285838c99e8284802~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=2eece1c7&x-expires=1768554000&x-signature=eXdK6m%2FA3o9ae%2FUAJColJyggw8w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
Is that even allowed to say 😂😂😂😂😂,3,1,2025-10-02T16:07:34.000Z,b1gr33zy15,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,10357963,7556656662254273311,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/c83ac5bb1a4103bb61f34f9af3ef19b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=41edefa7&x-expires=1768554000&x-signature=F0fACcQD43ymqyL7dibrQTWKvws%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
Sorry all we have is long time short time closed lol in Chinese voice,4,1,2025-10-02T11:59:53.000Z,rickrodriguez901,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,7348641581032047659,7556592732594176823,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/7645505226742f6ae530e37dd88955c5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=c503498d&x-expires=1768554000&x-signature=1nx12cma79lQU0bB2qpi8%2FVbo8A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
I spent 48 hrs here 🥵,2,0,2025-10-02T16:08:16.000Z,realcptnpaul,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,6825336555583472646,7556656608707068702,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/2ae1577cde88aef2ca0f5b8fe946172c~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=163157ec&x-expires=1768554000&x-signature=0rO5AxiYsU5cgAVWOdids4VhmDM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
Lmao what a crazy hotel name that is. Lmao,1,1,2025-10-02T17:54:31.000Z,juskrystle,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,6800987076818502661,7556684172472795934,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/9fd9c6563a7115c540c59570af3892e2~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=9789abe8&x-expires=1768554000&x-signature=T3lo0s2dK1%2B1xi6xwYPgbYeX0UM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
"Phuc that, I’m going there 😁",2,1,2025-09-23T17:16:48.000Z,user039641025,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,7413321622289138731,7553334660211999518,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/470d017cd373b3748710d556562fc863~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=dba4dd71&x-expires=1768554000&x-signature=HcFtFovpxlQ%2FBF0m4l7AiRtcdO4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
Have you tried a Phuc Long coffee?,4,1,2025-09-16T02:09:25.000Z,icreatr,https://www.tiktok.com/@freshhhtraveler/video/7546323463879822622,7526617031274316831,7550503319346430733,https://p19-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/46a59766e1cfd829cb257f85476b5028~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=567e3b43&x-expires=1768554000&x-signature=pakpNACmfZopxgNKZPSvejodhrE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,
nhẹ nhàng thé,2,0,2025-08-20T03:08:19.000Z,_toou.99,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6975861800609154050,7540499241576530695,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/35be665170857e46c9a02bf2565910ad~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8071b13e&x-expires=1768554000&x-signature=HeNmbgiYhTfOJjiVNgn4Surv7F0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
ời sao mấy bữa qua hỏng thấy cảnh này hỉ:),46,1,2025-06-30T12:49:39.000Z,_minamexmyy283_,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6841459468778177538,7521723705778553618,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/891157e3db55a9a867509b63b3bc7395~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33c1ca13&x-expires=1768554000&x-signature=4x7b24HSx4OiMIktlUsQXM%2BSxfc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
"""nghiêm túc""",1,0,2025-08-14T09:43:27.000Z,k220713,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7537130019119350791,7538374562355462920,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dce5ce1272f3abf47be87979a8cabc20~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=81e14bea&x-expires=1768554000&x-signature=5cj2ilW4OKuXm0Z11onbEPWPELE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Khét lẹt cafe rồi cha oi,87,1,2025-07-19T14:55:22.000Z,_tranl,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6623729237516615681,7528806717188391687,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6ba6190f956def8b9dc0f9c6cc42a29d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2f4e967&x-expires=1768554000&x-signature=QggYm7%2BkCn8aP1x9L3l595AafQo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Hơi bất ngờ,1,1,2025-07-30T05:15:31.000Z,failure_08__,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7430262268237415432,7532739231145050898,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ebc7f38433742a056e23b88e4bc730c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c881f6c5&x-expires=1768554000&x-signature=Fq3lLFPrZE8lqNyxUDQ8gao8o0w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Phải chi anh làm chung tao cx dc z,2,0,2025-08-18T07:51:29.000Z,ngde.p0712,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7463506473953412102,7539830052213818130,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9caf2f75a045d9db59ae8f72c657f3db~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8a34cc9c&x-expires=1768554000&x-signature=CJYGLFOFs88T%2BzuIZojhvLtvAU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Nv mới mà mặc áo đen là muốn cướp vị trí rồi,1,0,2025-08-23T03:40:39.000Z,hauhyred_1406,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6922788118035907586,7541620813981713173,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/16dfde731b6b4104f523aedfee2efdb1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bf5ad8bb&x-expires=1768554000&x-signature=l%2BkPxeixoIc6RN%2FH%2FS7bpDZBmCU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Nội dung này 10 điểm 😁,3,0,2025-06-27T14:39:30.000Z,baby.babyboo__,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7120196278331606042,7520638771302253319,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7932bd071b07cf18a374a77dcee894f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4124424e&x-expires=1768554000&x-signature=78wn1eoieP0LrV6UyJt%2FrrNWLos%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
có hong để mai ghé lunnnn,0,1,2025-08-24T16:36:10.000Z,athudangiu24,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7127629855693620226,7542191775230952193,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b41406d7f129802f5c49eb60c0948d54~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ac16a9b&x-expires=1768554000&x-signature=%2Fz35n8lnFLViExTdKoo63IA1izY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
"Anhh Há ơi anh Há, em hâm mộ anh quá",1,0,2025-06-27T14:47:11.000Z,anh.tittt11,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6594681594664845313,7520640743963788050,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/252c30b463902b11618f9a05df9df152~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fdffc492&x-expires=1768554000&x-signature=Ufv%2BxEcho1fKkUwSqUvQxhuT7nE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Bảo sao gọi ly nước mãi chưa thấy,1,1,2025-07-21T13:52:46.000Z,vunguyen.090,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6911529960285897730,7529532766829675282,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9a838b3e88799726a50851d673dcef83~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0bf98b0f&x-expires=1768554000&x-signature=%2Bs%2BWobNobo7QfrZyLEZC3kUXw3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
anh nào tên lê anh nào tên sơn,1,1,2025-06-27T15:10:34.000Z,tuan_nguyn02,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6929492353568883714,7520646773313635079,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9e5fd5c74bd78a5129ee015e210b9ed9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=db828841&x-expires=1768554000&x-signature=qZu5R64SwX2Z3SsgYe4d3phMVPY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
s t coi t cũng méc cỡ dzậy chời,5,1,2025-07-18T14:20:24.000Z,levibum04,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6530555332509630465,7528426624586597138,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b5f8368c2fed8b70ea76c68525e26dd0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d07bb141&x-expires=1768554000&x-signature=%2B8ibty83QGgT4xaYDwYIB%2FXA9nU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Nvien mới dzai dị sao t tập trung training đượccc,8,1,2025-07-19T07:19:29.000Z,tuyentuyen5473,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6770546683577156609,7528689238582936328,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bff5c4312d14f6fcd479f3eb764da8f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c8254c1e&x-expires=1768554000&x-signature=TPSra8ypgd6lvAAyuBbHw5mC8s0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
uống thì ok chứ ko bao giờ aplly dô,6,5,2025-08-02T04:42:33.000Z,midnight.chenn,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7112099740175352834,7533843997807493909,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bc17577baf146f5d7ef4da5247e069ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e0858249&x-expires=1768554000&x-signature=BowhuB6sfazANRMt9kLwV9oTHOE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
bảo sao có ly cà phê đứng đợi mãi chưa có😞,1,1,2025-07-22T05:27:15.000Z,xr.swong__08,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6771647489307214850,7529773577924117256,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/96bbbf78613fd334f9d80ecf90d12eff~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=89caa5f9&x-expires=1768554000&x-signature=Uav2QqTQxBMnNifGfVADZrJbQmI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Gà gáy t gọi cafe mà mặt trời lặn rồi vẫn chưa có ly cafe 🙂,9,1,2025-07-28T17:26:58.000Z,hinoissocutee,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6647800261380554754,7532185556995588871,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/af415bb7df21da268c97c016e241e205~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2a08b8ec&x-expires=1768554000&x-signature=vzRJgYQSwTaJpi%2BwHgkKF0NY%2FLg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Bữa sau e ghé quán 2 anh diễn lại y z cho em nghe hong 😌,3,1,2025-06-30T13:06:45.000Z,.call.me.min,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7325402138477560838,7521728104394933008,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/94bff6589e6d0582b69a4efd1e1abbbf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=492cf00f&x-expires=1768554000&x-signature=25dnLNTwVi5YxtY4khuJAbFBhng%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Quản lý nói gì khi thấy đôi chim ri này nghiêm túc như vậy ạ 😂,10,1,2025-06-27T14:54:45.000Z,nhth_thanhhang_,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6543100448647053313,7520642677433828104,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/962cda987dc86f3a14cc4e5498eb84ef~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=94dfc4d2&x-expires=1768554000&x-signature=awgpGBITai%2BIESXGPWeTa%2FzwnSc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
"Gọi ly nước gần 2 tiếng rồi chưa thấy, thì ra đây là lý do 😂😂",1,1,2025-08-04T06:01:29.000Z,loibankimcuong,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7397832156841870341,7534606486448063239,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/89431b04891f8f9758ae5c7a43559f43~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aa68920f&x-expires=1768554000&x-signature=DWwL8ZIBU6RZCinGp6nvtEnTfso%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
"em nộp mail pvan r mà 3 ngày ch có phản hồi v ạa , em k đc nhận hả ta 😔😭😭",2,5,2025-07-23T13:08:57.000Z,truongdepchai07,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6965059340871042050,7530263647999558418,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/633a43773dc07915decbb9d0d1a1ebf9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e8f6a211&x-expires=1768554000&x-signature=2KYfRN56o0Fg7LHhasB7vrP5x7s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Gòy gòy tới công chiện 😂,2,1,2025-06-27T14:45:09.000Z,vievie241195,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6719825088571917313,7520640218338001671,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6c8356abcf3afec747329f7d3cb3b30a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=292c60b4&x-expires=1768554000&x-signature=L1jwhnvzc%2Fk7KU2YaIIdfVDZNnk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Bộ làm chung dễ iu nhau lắm hả mấy bà,1,0,2025-08-12T18:05:07.000Z,kalamacoffee,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6653307122925895682,7537761653258748690,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f14b832b266aab525ef1cdb87103b0c6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e6f4ab1e&x-expires=1768554000&x-signature=DHMDm8YUYPo6WT2tNJ7643FSAAU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
thiệt hả bà thơ,1,0,2025-07-26T03:22:26.000Z,bonemoclen,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6990994835487736858,7531225730458387216,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b8ac97a73526e54985ac0334a58c2960~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b499f2a3&x-expires=1768554000&x-signature=BH%2BsS9f07YpXIWcGp%2B8W%2F38K82U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
quán có còn tuyển nv nữ không ạ,1,1,2025-07-19T15:43:43.000Z,con.sen.ngheo,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7493932754079810565,7528819183808021265,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/009a7ca745f97b3a7662e0f2441bffc0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7d6f51e5&x-expires=1768554000&x-signature=0CFaVo4JtNFuhBNrX6S4fG%2FidIc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
🤭🤭🤭 goy xoq,1,0,2025-07-31T02:16:22.000Z,na.rosemary,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6742039720920400898,7533064125855302407,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5eeb97f8ca48f1d695ad4f6e349616bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=88cf9085&x-expires=1768554000&x-signature=wFAutOwRO0cMGAdLGiJ481NKk18%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Rồi rồi 🤪,1,0,2025-07-03T00:55:41.000Z,mrnew9999,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6769430874008060930,7522652915329925905,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1b7352ec25d8e4d5b63815f64c4f7b59~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9d421cc&x-expires=1768554000&x-signature=iTtz1D861iHzJxNyKxlK1FP1CLk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
Lê và Sơn :))),1,0,2025-06-30T14:43:07.000Z,thang30012007,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6759495699052741633,7521752939020616466,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c1abee7decf6fc60d41f716f7cfeaa25~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=981f8c1a&x-expires=1768554000&x-signature=VDaNqVWeUcstwQ4VzVyKpU0o%2Fzk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
anh đeo khẩu trang đẹp trai dữ trời 😇,1,2,2025-06-29T03:23:17.000Z,_dh.qnh,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,7320839176507884545,7521206655008064274,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/eccdb697ef9b2e3563b929172574cc00~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c5497538&x-expires=1768554000&x-signature=ne%2Ff2NUyE3EEM%2FrvnXXP%2FWcRgPs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
nhân viên part time bên mình đang tuyển ở những vị trí nào z ạ???,1,0,2025-07-29T10:48:58.000Z,mytruong1442000,https://www.tiktok.com/@phuc.long.30.trng/video/7520636195303460103,6972766059472684034,7532454064819651345,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/73ed9e62711100b982486237aabffc24~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b4b8dd3e&x-expires=1768554000&x-signature=O5txGjjgjqpjJUzcHr0ekjFOxQ4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,
